GEOID,B03002_001,B03002_002,B03002_003,B03002_004,B03002_005,B03002_006,B03002_007,B03002_008,B03002_009,B03002_010,B03002_011,B03002_012,B03002_013,B03002_014,B03002_015,B03002_016,B03002_017,B03002_018,B03002_019,B03002_020,B03002_021
482013110001,583,0,0,0,0,0,0,0,0,0,0,583,573,0,0,0,0,10,0,0,0
482013110004,1869,22,22,0,0,0,0,0,0,0,0,1847,1818,0,0,0,0,29,0,0,0
482013111001,1046,11,11,0,0,0,0,0,0,0,0,1035,895,4,0,0,0,136,0,0,0
482013111003,1639,112,112,0,0,0,0,0,0,0,0,1527,1192,0,0,0,0,315,20,0,20
482013111004,1759,48,0,16,0,32,0,0,0,0,0,1711,1476,11,7,0,0,173,44,44,0
482013131001,2744,2369,1567,347,0,434,0,10,11,0,11,375,329,0,11,10,0,25,0,0,0
482013111002,1092,7,7,0,0,0,0,0,0,0,0,1085,706,57,0,0,0,305,17,17,0
482013131002,652,564,304,85,0,119,0,0,56,0,56,88,65,0,0,0,0,0,23,0,23
482015431001,3498,2008,1442,322,60,19,0,90,75,36,39,1490,1006,0,0,0,0,446,38,38,0
482015502001,2256,1511,143,1368,0,0,0,0,0,0,0,745,618,0,0,0,0,127,0,0,0
482015509003,1772,135,104,31,0,0,0,0,0,0,0,1637,1308,0,0,0,0,329,0,0,0
482015509002,3392,2391,327,932,29,1103,0,0,0,0,0,1001,806,0,0,0,0,164,31,0,31
482015509001,1592,890,238,358,0,249,0,45,0,0,0,702,349,65,0,0,0,248,40,40,0
482015512003,2326,1904,833,139,0,910,0,0,22,0,22,422,258,0,0,0,0,164,0,0,0
482015512004,1188,893,554,276,0,41,0,0,22,0,22,295,295,0,0,0,0,0,0,0,0
482015512001,2900,1725,920,252,116,230,0,0,207,0,207,1175,1099,0,0,8,0,68,0,0,0
482015512002,753,559,312,81,0,161,0,0,5,0,5,194,141,24,0,0,0,29,0,0,0
482015516001,3111,1506,812,267,0,427,0,0,0,0,0,1605,1543,0,0,0,0,62,0,0,0
482014511001,719,617,357,224,0,36,0,0,0,0,0,102,102,0,0,0,0,0,0,0,0
482015111002,1993,1465,970,40,0,423,0,0,32,0,32,528,481,0,0,0,0,47,0,0,0
482015111001,1417,1077,769,109,0,150,0,7,42,0,42,340,268,6,0,0,0,66,0,0,0
482013134001,861,787,52,735,0,0,0,0,0,0,0,74,74,0,0,0,0,0,0,0,0
482013134002,2164,1722,84,1603,0,11,0,0,24,0,24,442,206,54,0,0,0,182,0,0,0
482012310001,2277,1269,46,1174,0,0,0,0,49,0,49,1008,960,38,0,0,0,10,0,0,0
482012310002,1981,1418,39,1265,0,0,0,0,114,0,114,563,499,3,0,0,0,61,0,0,0
482012332002,1170,627,582,45,0,0,0,0,0,0,0,543,374,0,0,0,0,169,0,0,0
482012332001,2002,591,499,92,0,0,0,0,0,0,0,1411,1317,0,0,0,0,94,0,0,0
482015308003,1900,1678,290,1387,0,0,0,0,1,0,1,222,79,27,0,0,0,116,0,0,0
482015310002,2478,1749,1537,44,0,39,0,0,129,0,129,729,698,0,0,0,0,15,16,16,0
482015310001,1300,967,931,32,0,4,0,0,0,0,0,333,298,0,0,0,0,35,0,0,0
482012117001,1527,1098,21,1068,0,0,0,0,9,0,9,429,429,0,0,0,0,0,0,0,0
482012117002,825,468,78,390,0,0,0,0,0,0,0,357,294,0,0,0,0,63,0,0,0
482012117003,1553,904,0,806,0,0,0,0,98,0,98,649,649,0,0,0,0,0,0,0,0
482012223003,851,58,53,5,0,0,0,0,0,0,0,793,657,0,0,0,0,136,0,0,0
482012223001,2285,317,273,36,0,0,0,0,8,0,8,1968,1968,0,0,0,0,0,0,0,0
482012223002,1306,199,98,40,0,60,0,0,1,0,1,1107,1078,29,0,0,0,0,0,0,0
482012332003,1178,253,175,6,0,72,0,0,0,0,0,925,786,0,0,0,0,139,0,0,0
482012332004,1732,135,106,29,0,0,0,0,0,0,0,1597,1017,0,0,0,0,580,0,0,0
482012505001,3798,2734,1608,906,0,150,0,0,70,0,70,1064,694,20,20,49,0,175,106,42,64
482012108001,1333,662,67,586,0,9,0,0,0,0,0,671,602,28,0,0,0,30,11,0,11
482012108002,1530,469,152,317,0,0,0,0,0,0,0,1061,977,6,0,0,0,46,32,0,32
482012209002,717,120,26,94,0,0,0,0,0,0,0,597,519,0,0,0,0,78,0,0,0
482012209001,1078,265,7,258,0,0,0,0,0,0,0,813,721,0,0,0,0,92,0,0,0
482012212003,3577,206,158,48,0,0,0,0,0,0,0,3371,3208,0,0,0,0,163,0,0,0
482012212001,2314,250,133,117,0,0,0,0,0,0,0,2064,1843,26,0,0,0,118,77,0,77
482012212002,941,31,31,0,0,0,0,0,0,0,0,910,828,0,0,0,0,82,0,0,0
482012220001,2383,347,183,150,0,0,0,14,0,0,0,2036,1695,0,33,0,0,289,19,0,19
482012221002,2581,214,207,7,0,0,0,0,0,0,0,2367,1915,0,0,0,0,452,0,0,0
482012221001,3134,385,375,0,10,0,0,0,0,0,0,2749,2533,0,0,0,0,216,0,0,0
482015547002,5304,4384,3857,192,0,256,0,0,79,0,79,920,875,11,0,0,0,19,15,15,0
482015547001,2681,2375,1602,166,0,560,0,0,47,32,15,306,206,0,0,0,0,100,0,0,0
482015511001,1811,1138,132,693,0,313,0,0,0,0,0,673,673,0,0,0,0,0,0,0,0
482015511002,1962,1427,69,1350,0,0,0,0,8,0,8,535,447,79,0,0,0,9,0,0,0
482015511003,2579,1657,233,908,0,484,0,0,32,3,29,922,450,0,0,0,0,472,0,0,0
482015515001,2842,1908,529,907,32,365,38,20,17,0,17,934,772,76,0,0,0,86,0,0,0
482015515002,5949,3835,899,1813,0,968,0,0,155,0,155,2114,1845,18,0,0,0,251,0,0,0
482015528003,2778,2306,938,1042,0,299,0,0,27,0,27,472,302,97,0,0,0,73,0,0,0
482015528004,3031,2676,1962,535,0,91,0,0,88,0,88,355,332,0,0,0,0,23,0,0,0
482015528002,656,656,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482015528001,1291,1038,853,77,0,77,0,0,31,31,0,253,253,0,0,0,0,0,0,0,0
482015529005,1280,1202,1007,0,0,0,195,0,0,0,0,78,59,0,0,0,0,0,19,19,0
482015529001,1183,861,511,350,0,0,0,0,0,0,0,322,109,0,0,0,0,0,213,12,201
482015529003,2058,1717,869,544,0,249,0,6,49,0,49,341,182,0,32,0,0,50,77,53,24
482015529004,1710,1642,1091,251,0,119,0,0,181,0,181,68,68,0,0,0,0,0,0,0,0
482015529002,2080,1866,849,927,0,28,0,0,62,0,62,214,193,0,0,0,0,0,21,0,21
482015535001,2393,1428,1116,0,0,227,0,29,56,0,56,965,672,0,0,0,0,293,0,0,0
482015535003,1426,1232,893,230,0,28,0,0,81,0,81,194,47,0,0,0,0,77,70,53,17
482015535002,2530,2308,2061,211,0,22,0,0,14,0,14,222,173,0,0,0,0,49,0,0,0
482014111002,1149,1016,535,204,0,277,0,0,0,0,0,133,122,0,0,11,0,0,0,0,0
482014111001,1603,1409,1316,0,0,93,0,0,0,0,0,194,169,0,0,0,0,25,0,0,0
482014126001,1510,1373,1246,0,0,115,0,0,12,0,12,137,129,0,0,0,0,8,0,0,0
482014126003,880,782,600,0,0,125,0,15,42,0,42,98,98,0,0,0,0,0,0,0,0
482014126002,1593,1542,1171,52,0,271,0,0,48,0,48,51,38,0,0,0,0,13,0,0,0
482014203002,938,902,721,20,0,27,0,0,134,0,134,36,30,0,0,0,0,0,6,6,0
482012401001,2156,868,133,530,130,75,0,0,0,0,0,1288,1122,22,0,0,0,127,17,0,17
482012401002,1743,946,142,633,0,46,77,0,48,0,48,797,631,0,18,0,0,124,24,0,24
482012334001,1064,101,97,0,0,0,0,0,4,0,4,963,875,16,5,0,0,47,20,8,12
482012334002,1819,502,209,288,0,0,0,0,5,0,5,1317,1203,37,33,0,0,44,0,0,0
482012501003,4443,1388,738,541,0,54,0,0,55,0,55,3055,2213,30,0,0,0,565,247,117,130
482015516003,3327,2022,629,621,0,753,0,0,19,0,19,1305,1043,0,0,0,0,249,13,0,13
482015516002,2879,1363,774,239,0,8,0,210,132,39,93,1516,1271,0,0,0,0,172,73,0,73
482013306001,1776,627,107,520,0,0,0,0,0,0,0,1149,896,10,0,0,0,183,60,60,0
482013306002,1927,1263,99,1147,0,0,0,0,17,17,0,664,523,0,0,0,0,141,0,0,0
482013306003,809,410,0,410,0,0,0,0,0,0,0,399,399,0,0,0,0,0,0,0,0
482013306004,2605,1531,39,1492,0,0,0,0,0,0,0,1074,870,45,0,0,0,159,0,0,0
482013232003,929,398,357,0,30,11,0,0,0,0,0,531,531,0,0,0,0,0,0,0,0
482013232002,1227,296,225,71,0,0,0,0,0,0,0,931,767,0,0,0,0,93,71,33,38
482013232004,1166,280,251,29,0,0,0,0,0,0,0,886,860,0,0,0,0,26,0,0,0
482013232001,2201,652,520,32,5,20,15,0,60,0,60,1549,1284,0,0,62,0,170,33,25,8
482013314001,2449,2449,0,2088,87,56,0,0,218,0,218,0,0,0,0,0,0,0,0,0,0
482013317003,935,842,32,801,9,0,0,0,0,0,0,93,0,39,0,0,0,32,22,22,0
482013317002,933,663,28,635,0,0,0,0,0,0,0,270,269,0,0,0,0,1,0,0,0
482013317001,2154,1732,11,1721,0,0,0,0,0,0,0,422,197,37,0,0,0,180,8,0,8
482013219003,2174,128,120,8,0,0,0,0,0,0,0,2046,1938,13,0,0,0,92,3,3,0
482013219002,1419,454,454,0,0,0,0,0,0,0,0,965,784,0,0,0,0,181,0,0,0
482013219001,1654,181,26,36,0,119,0,0,0,0,0,1473,1402,5,0,0,0,66,0,0,0
482013219004,866,91,91,0,0,0,0,0,0,0,0,775,713,0,0,0,0,23,39,0,39
482013239001,2330,739,487,227,0,25,0,0,0,0,0,1591,1571,0,0,0,0,0,20,0,20
482013239002,1824,863,826,16,0,0,0,0,21,0,21,961,823,0,0,0,0,138,0,0,0
482013327002,1681,117,101,0,0,16,0,0,0,0,0,1564,1495,0,0,0,0,45,24,4,20
482013327001,625,15,10,5,0,0,0,0,0,0,0,610,542,0,0,0,0,68,0,0,0
482015519001,888,655,371,247,0,0,0,0,37,0,37,233,187,0,0,0,0,0,46,0,46
482013122003,640,640,25,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482013122001,538,520,20,491,0,3,0,0,6,0,6,18,18,0,0,0,0,0,0,0,0
482013122002,1004,840,7,792,0,7,0,13,21,0,21,164,139,12,0,0,0,13,0,0,0
482013126001,3299,2671,1431,417,0,755,0,0,68,0,68,628,628,0,0,0,0,0,0,0,0
482013126004,1654,1391,1011,144,0,149,0,0,87,0,87,263,263,0,0,0,0,0,0,0,0
482013126003,1060,573,325,248,0,0,0,0,0,0,0,487,487,0,0,0,0,0,0,0,0
482013126002,2000,1484,765,225,0,286,0,104,104,0,104,516,386,0,0,45,0,47,38,0,38
482013127002,1022,972,116,812,0,11,0,0,33,11,22,50,21,15,0,0,0,14,0,0,0
482013127003,497,497,102,373,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482013127001,881,808,112,696,0,0,0,0,0,0,0,73,73,0,0,0,0,0,0,0,0
482013130003,1007,997,83,903,0,11,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0
482013130001,846,650,103,516,0,14,0,0,17,0,17,196,166,20,0,0,0,10,0,0,0
482013130002,791,776,114,652,0,0,0,0,10,0,10,15,15,0,0,0,0,0,0,0,0
482013201001,1535,140,28,67,0,45,0,0,0,0,0,1395,1054,0,0,0,0,341,0,0,0
482013201002,1237,225,51,51,0,123,0,0,0,0,0,1012,642,0,6,0,0,335,29,0,29
482014303002,1822,1657,1574,0,0,35,0,48,0,0,0,165,165,0,0,0,0,0,0,0,0
482014303001,1142,1072,861,0,0,211,0,0,0,0,0,70,70,0,0,0,0,0,0,0,0
482014310003,1588,1244,1147,19,0,78,0,0,0,0,0,344,311,0,0,0,0,16,17,17,0
482014310004,1181,1042,926,1,0,79,0,0,36,0,36,139,117,0,0,0,0,0,22,0,22
482014310002,969,969,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482014310001,2039,1708,1262,136,11,276,0,0,23,0,23,331,247,0,0,21,0,12,51,0,51
482013328002,1289,142,122,20,0,0,0,0,0,0,0,1147,938,0,0,0,0,199,10,10,0
482013328001,1428,380,141,239,0,0,0,0,0,0,0,1048,1030,0,0,0,0,18,0,0,0
482013328003,2217,561,135,418,0,8,0,0,0,0,0,1656,1509,43,0,0,0,85,19,0,19
482013228001,1965,211,211,0,0,0,0,0,0,0,0,1754,1534,0,0,0,0,214,6,6,0
482013228002,886,126,126,0,0,0,0,0,0,0,0,760,661,0,0,0,0,99,0,0,0
482013228004,1728,355,287,0,21,47,0,0,0,0,0,1373,1174,0,20,0,0,179,0,0,0
482013228003,1844,187,187,0,0,0,0,0,0,0,0,1657,1467,0,0,0,0,190,0,0,0
482013309003,663,235,67,168,0,0,0,0,0,0,0,428,405,0,0,0,0,23,0,0,0
482013309002,4219,734,56,678,0,0,0,0,0,0,0,3485,3017,0,0,0,0,468,0,0,0
482013309001,6870,5437,801,3984,15,516,0,0,121,46,75,1433,1116,236,0,0,0,81,0,0,0
482013325001,1835,1059,64,995,0,0,0,0,0,0,0,776,754,0,0,0,0,22,0,0,0
482013325002,1208,479,28,431,7,0,0,0,13,13,0,729,585,0,0,0,0,68,76,34,42
482013411002,1339,943,748,46,0,141,0,0,8,0,8,396,364,0,0,0,0,32,0,0,0
482013411001,2810,1622,1066,438,0,47,0,0,71,0,71,1188,819,0,136,0,0,203,30,7,23
482013414002,1604,1351,1082,69,0,156,0,0,44,0,44,253,238,8,0,0,0,7,0,0,0
482013414001,1464,1371,1223,108,0,36,0,0,4,0,4,93,66,0,0,0,0,27,0,0,0
482013414003,1849,1638,1594,29,11,4,0,0,0,0,0,211,211,0,0,0,0,0,0,0,0
482013416002,3327,2507,2271,16,0,96,0,0,124,0,124,820,640,140,0,0,0,20,20,20,0
482013416003,1230,1216,1203,0,13,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0
482013416001,1712,1204,1121,83,0,0,0,0,0,0,0,508,490,0,0,0,0,0,18,18,0
482012413001,2470,1508,1096,264,0,97,0,0,51,0,51,962,214,0,0,0,0,730,18,0,18
482014304002,1972,1645,1353,20,0,247,0,0,25,0,25,327,321,0,0,0,0,0,6,0,6
482014334001,2981,1009,344,379,0,270,0,7,9,9,0,1972,1165,11,0,0,0,796,0,0,0
482014523001,2736,1376,250,497,0,601,0,2,26,0,26,1360,726,0,0,0,0,634,0,0,0
482012413002,2748,2269,1349,492,0,178,0,0,250,0,250,479,360,0,0,0,0,58,61,47,14
482012413003,5918,4597,2295,1553,12,632,0,0,105,11,94,1321,848,62,0,0,0,411,0,0,0
482012530003,2522,1356,1092,227,0,7,0,0,30,9,21,1166,906,0,0,7,0,195,58,58,0
482012530002,1428,1042,224,818,0,0,0,0,0,0,0,386,356,0,0,0,0,0,30,30,0
482012530001,253,228,0,217,0,0,0,11,0,0,0,25,25,0,0,0,0,0,0,0,0
482013109003,942,63,29,22,0,0,0,0,12,0,12,879,806,0,0,0,0,73,0,0,0
482013109002,1223,101,95,6,0,0,0,0,0,0,0,1122,916,0,0,0,0,176,30,10,20
482013408002,1652,1546,1206,32,14,294,0,0,0,0,0,106,56,0,0,0,0,50,0,0,0
482013408001,2244,2057,1208,162,65,580,0,0,42,0,42,187,120,0,0,0,0,0,67,0,67
482014524001,2658,1358,270,530,0,488,0,0,70,0,70,1300,1300,0,0,0,0,0,0,0,0
482014524003,1510,115,26,0,0,89,0,0,0,0,0,1395,911,0,0,0,0,457,27,0,27
482014524002,2393,1225,77,174,0,974,0,0,0,0,0,1168,620,0,0,0,0,548,0,0,0
482014524004,1321,746,70,17,0,652,0,0,7,0,7,575,304,0,0,0,0,254,17,0,17
482014529001,2574,1007,119,277,0,611,0,0,0,0,0,1567,792,0,0,0,0,737,38,38,0
482014529002,1940,717,341,99,0,277,0,0,0,0,0,1223,450,0,0,0,0,773,0,0,0
482014503002,2545,1798,668,930,0,159,0,0,41,0,41,747,372,177,123,0,0,75,0,0,0
482014503004,2442,1313,859,58,0,264,0,0,132,0,132,1129,739,0,0,0,0,390,0,0,0
482014503001,1623,1415,650,226,0,406,0,0,133,0,133,208,178,0,0,0,0,0,30,0,30
482014503003,1076,922,813,16,0,93,0,0,0,0,0,154,154,0,0,0,0,0,0,0,0
482014530002,3081,743,84,100,0,559,0,0,0,0,0,2338,1354,124,0,0,0,860,0,0,0
482014530003,2783,1050,35,664,0,327,0,0,24,0,24,1733,1171,0,0,0,0,562,0,0,0
482014530001,3688,1293,184,44,0,999,0,0,66,0,66,2395,1372,0,0,0,0,1023,0,0,0
482014539001,6627,4767,204,1929,0,2551,0,0,83,0,83,1860,1279,0,0,246,0,335,0,0,0
482014539002,1541,1068,35,33,0,1000,0,0,0,0,0,473,473,0,0,0,0,0,0,0,0
482014540002,3073,2211,363,574,0,1208,0,18,48,0,48,862,821,0,0,0,0,0,41,34,7
482014540001,2353,1357,346,652,0,261,0,14,84,0,84,996,560,0,0,0,0,396,40,28,12
482014552001,1533,913,721,124,0,54,0,0,14,0,14,620,581,11,0,0,0,28,0,0,0
482014552003,1329,1070,959,51,0,29,0,0,31,0,31,259,259,0,0,0,0,0,0,0,0
482014552002,1613,1239,1010,199,0,8,0,0,22,0,22,374,264,33,0,0,0,8,69,0,69
482012508002,2572,2197,1753,317,0,22,0,0,105,0,105,375,214,0,0,0,0,161,0,0,0
482012508001,1962,1816,1475,247,0,13,0,0,81,0,81,146,98,0,0,0,0,48,0,0,0
482012520001,18369,12994,7902,4164,52,722,0,28,126,0,126,5375,4609,145,229,0,0,238,154,108,46
482014101002,1235,689,432,116,0,121,0,20,0,0,0,546,268,14,0,0,0,213,51,0,51
482014101001,2935,2646,1242,998,14,319,0,0,73,29,44,289,233,11,0,0,0,45,0,0,0
482014106001,1497,1346,1083,76,0,169,0,0,18,0,18,151,110,2,0,0,0,0,39,2,37
482014116002,1223,1073,929,22,0,73,0,0,49,0,49,150,150,0,0,0,0,0,0,0,0
482014116001,1201,1107,1089,0,0,3,0,0,15,0,15,94,76,0,0,0,0,18,0,0,0
482014118003,1904,1752,681,456,0,573,0,14,28,0,28,152,152,0,0,0,0,0,0,0,0
482014118002,1621,1253,1103,91,0,46,0,0,13,0,13,368,327,0,0,0,0,41,0,0,0
482014118004,698,663,414,66,0,142,0,0,41,0,41,35,12,0,0,0,0,23,0,0,0
482014127001,1337,1122,837,0,0,285,0,0,0,0,0,215,215,0,0,0,0,0,0,0,0
482014127002,2108,2011,1448,16,0,483,0,0,64,0,64,97,97,0,0,0,0,0,0,0,0
482014129001,1736,1487,820,143,0,455,0,0,69,0,69,249,174,0,0,0,0,75,0,0,0
482014129002,1698,1461,724,258,0,446,0,0,33,0,33,237,122,0,0,0,0,115,0,0,0
482013236003,3175,1500,1350,0,0,59,0,0,91,0,91,1675,1480,0,45,0,0,150,0,0,0
482013324003,875,863,30,833,0,0,0,0,0,0,0,12,6,0,0,0,0,6,0,0,0
482013324001,1423,1035,5,1001,0,0,25,0,4,0,4,388,323,34,0,0,0,31,0,0,0
482013324002,1494,1460,0,1414,0,0,0,0,46,0,46,34,0,0,0,0,0,34,0,0,0
482013333001,1068,131,122,9,0,0,0,0,0,0,0,937,903,0,0,0,0,34,0,0,0
482013333003,2912,461,35,385,0,28,0,0,13,0,13,2451,1610,11,0,0,0,830,0,0,0
482013333002,7101,1744,309,1250,0,185,0,0,0,0,0,5357,3968,0,0,0,0,1389,0,0,0
482013338001,2198,270,148,122,0,0,0,0,0,0,0,1928,1483,0,16,0,0,429,0,0,0
482013338002,2077,204,148,56,0,0,0,0,0,0,0,1873,720,0,16,0,0,1137,0,0,0
482013338004,2406,614,165,402,0,47,0,0,0,0,0,1792,1241,28,0,0,0,439,84,84,0
482013338003,1890,942,187,675,0,80,0,0,0,0,0,948,213,75,38,0,0,622,0,0,0
482013407003,2592,1850,761,515,0,469,0,0,105,0,105,742,623,0,0,0,0,119,0,0,0
482013407002,1818,1145,761,114,0,72,0,89,109,17,92,673,592,0,0,0,0,81,0,0,0
482013407001,1994,1075,864,22,0,132,0,13,44,30,14,919,579,76,0,0,0,170,94,0,94
482013431001,2091,1746,1586,47,14,0,0,0,99,0,99,345,269,0,0,0,0,76,0,0,0
482013431002,1069,708,653,32,8,7,0,0,8,0,8,361,246,0,9,0,0,80,26,26,0
482013432001,3385,2431,2148,67,0,0,0,0,216,0,216,954,666,0,0,0,0,181,107,107,0
482013432002,1845,948,852,71,0,0,0,0,25,0,25,897,689,0,0,0,0,135,73,0,73
482013504002,1359,711,262,215,0,215,0,0,19,12,7,648,244,0,34,0,0,355,15,5,10
482013504001,1825,773,312,258,0,100,13,0,90,0,90,1052,432,0,0,0,0,536,84,0,84
482012114002,1160,850,0,839,0,11,0,0,0,0,0,310,237,48,10,0,0,15,0,0,0
482014216003,1848,1012,476,31,0,489,0,0,16,0,16,836,790,0,0,46,0,0,0,0,0
482014216002,1953,59,47,12,0,0,0,0,0,0,0,1894,1818,16,0,0,0,60,0,0,0
482015115005,1490,1133,1009,17,0,76,0,0,31,0,31,357,342,0,0,0,0,0,15,0,15
482015115001,535,455,438,0,0,17,0,0,0,0,0,80,80,0,0,0,0,0,0,0,0
482015115002,999,458,384,0,0,53,0,0,21,0,21,541,541,0,0,0,0,0,0,0,0
482015115006,1228,696,632,0,0,64,0,0,0,0,0,532,513,0,0,0,0,19,0,0,0
482015115003,932,376,307,36,0,13,0,0,20,20,0,556,494,29,0,0,0,33,0,0,0
482015115004,816,491,445,0,0,46,0,0,0,0,0,325,325,0,0,0,0,0,0,0,0
482012110001,955,607,0,607,0,0,0,0,0,0,0,348,325,0,0,0,0,23,0,0,0
482012119003,1385,78,48,30,0,0,0,0,0,0,0,1307,1211,0,0,0,0,72,24,24,0
482012119001,1383,43,43,0,0,0,0,0,0,0,0,1340,1319,0,0,0,0,6,15,15,0
482012119002,1523,10,10,0,0,0,0,0,0,0,0,1513,1480,0,0,0,0,9,24,24,0
482012205001,597,60,8,52,0,0,0,0,0,0,0,537,528,0,0,0,0,9,0,0,0
482012205002,1468,441,325,86,0,30,0,0,0,0,0,1027,893,0,0,7,0,127,0,0,0
482012213001,1545,205,39,73,0,93,0,0,0,0,0,1340,1193,0,0,0,0,107,40,40,0
482012213002,1074,35,6,29,0,0,0,0,0,0,0,1039,768,0,0,0,0,271,0,0,0
482012213004,2692,182,160,22,0,0,0,0,0,0,0,2510,2321,0,58,0,0,131,0,0,0
